index,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,thermistor,time,x,y
0,19.5,19.25,19.75,19.5,19.5,19.75,19.5,19.75,19.5,19.5,19.5,19.5,19.75,20.0,19.75,19.5,19.25,19.5,20.25,20.0,19.75,19.75,19.75,19.5,19.0,19.25,20.0,19.75,20.0,20.25,19.5,20.0,18.75,19.5,20.25,20.0,19.5,20.25,20.0,19.5,19.5,19.25,19.75,19.75,20.0,20.0,20.0,20.0,18.5,19.25,20.0,19.5,20.5,19.75,20.25,20.0,18.5,19.75,20.0,19.75,19.5,20.25,19.5,19.0,24.94,2020-11-05 02:48:29.431,-2.0965522743212484,0.06547049580309801
1,19.0,19.5,19.75,20.0,19.25,19.75,19.75,19.5,19.0,19.5,19.0,19.5,19.75,19.5,19.5,19.0,19.5,19.25,20.0,19.75,20.25,20.25,19.75,19.25,19.5,19.75,20.0,19.75,20.0,20.0,19.5,20.25,19.25,19.25,20.25,20.25,19.75,20.25,20.0,19.75,19.25,19.5,19.75,20.0,19.5,20.0,19.75,20.0,18.5,19.0,19.5,20.0,20.25,20.0,20.0,19.5,18.25,18.5,19.75,19.75,20.0,19.75,19.25,19.25,24.94,2020-11-05 02:48:29.530,-2.0957325989059417,0.06711799300801127
2,19.25,19.25,19.75,19.5,19.5,19.25,20.0,19.25,19.25,19.5,20.0,20.0,19.5,19.0,19.75,19.75,19.5,19.25,19.75,20.0,19.75,19.5,19.5,19.0,19.25,19.25,19.75,19.75,20.25,19.5,19.5,19.75,19.25,19.0,20.0,20.0,20.0,20.0,19.75,19.75,18.75,19.5,19.5,19.75,20.0,19.75,19.75,19.75,18.5,19.0,20.0,19.5,20.0,20.25,20.25,19.5,18.5,19.0,19.75,19.75,19.75,20.25,19.5,20.0,24.94,2020-11-05 02:48:29.632,-2.094562519628693,0.06954390749287057
3,19.0,19.25,20.0,19.25,19.75,19.75,20.25,19.25,19.25,20.0,19.5,19.25,19.75,19.75,19.75,19.5,19.0,19.5,19.75,20.0,19.75,20.0,19.75,19.5,19.5,19.5,20.0,20.0,19.75,20.0,19.5,20.0,18.75,19.75,20.0,20.0,19.5,19.5,19.75,19.5,19.25,19.25,19.75,19.75,20.0,19.25,19.75,20.0,18.75,19.5,19.75,20.0,20.0,20.25,20.0,20.0,18.5,18.75,19.25,19.5,19.5,19.5,19.75,19.5,24.94,2020-11-05 02:48:29.732,-2.093815573984218,0.07092465576228427
4,19.0,19.5,19.5,19.75,19.25,19.5,19.5,19.75,19.25,19.5,19.5,19.25,19.5,19.75,20.0,19.75,19.25,19.25,20.25,20.0,19.75,20.25,20.0,19.5,19.5,19.5,19.75,19.75,20.0,20.0,19.5,19.75,19.25,19.25,20.25,20.0,19.5,19.75,20.0,19.75,19.0,19.0,19.5,19.5,19.5,19.75,20.25,19.25,19.25,19.25,20.0,20.0,20.0,20.25,20.0,19.75,18.75,18.75,19.75,19.5,19.75,20.0,19.5,19.75,24.94,2020-11-05 02:48:29.832,-2.0923278855821277,0.07334257948921052
5,18.75,19.25,19.75,19.5,19.5,19.5,20.0,19.5,18.75,19.5,20.0,19.5,19.5,19.75,19.5,19.75,19.0,19.5,20.25,20.0,19.25,20.25,20.0,19.25,19.75,19.5,20.0,20.0,20.25,20.0,19.5,20.0,19.0,19.5,19.75,20.0,19.75,19.75,19.5,19.5,19.25,19.5,19.75,20.0,20.0,19.5,19.75,19.75,18.75,19.0,19.75,19.75,20.25,19.75,20.25,19.5,18.75,18.75,19.5,19.75,19.5,19.5,19.75,19.5,24.94,2020-11-05 02:48:29.933,-2.091274482219103,0.07468184646826334
6,19.0,19.25,19.75,19.5,19.25,19.75,20.25,19.5,19.25,19.5,19.25,19.5,19.75,19.75,20.0,19.5,19.0,19.75,20.0,20.0,19.5,20.0,20.0,19.0,19.75,19.75,20.0,20.0,20.5,20.0,19.75,20.0,19.0,19.25,19.75,20.0,19.75,20.25,19.75,19.75,19.25,19.25,19.5,20.25,20.0,19.75,20.0,19.5,18.5,19.0,19.75,19.75,20.0,19.75,20.5,20.0,18.5,18.75,19.25,20.25,19.75,20.0,19.25,19.75,24.94,2020-11-05 02:48:30.035,-2.090399461665525,0.07576632816335219
7,19.0,19.5,19.25,19.75,19.25,19.5,19.75,19.5,18.75,19.25,20.25,19.25,20.0,20.0,20.25,19.5,19.25,19.5,20.25,19.75,19.75,20.0,19.75,19.25,19.5,19.25,19.75,20.0,20.25,19.75,19.5,20.0,18.75,19.5,19.75,19.75,20.0,20.0,20.0,19.5,19.25,19.25,19.75,19.75,19.75,20.0,20.25,20.0,18.5,19.0,19.75,19.75,20.25,19.75,20.5,20.0,18.0,18.75,19.0,19.5,19.75,20.0,19.75,19.5,24.94,2020-11-05 02:48:30.137,-2.089711783673804,0.07653192957186644
8,18.5,19.25,19.75,19.5,19.25,19.5,20.0,19.5,19.0,19.25,20.0,19.5,20.0,19.5,20.25,19.75,19.5,19.25,19.75,20.0,19.75,20.0,20.0,19.25,19.75,19.75,20.0,20.0,19.75,20.25,19.25,20.0,18.75,19.25,19.75,20.0,19.5,20.0,19.5,19.75,19.0,19.75,19.5,20.0,19.75,19.75,19.75,20.0,18.75,19.0,19.5,19.75,19.75,19.75,20.0,20.5,18.5,18.5,19.75,19.5,19.5,19.75,19.25,19.5,24.94,2020-11-05 02:48:30.237,-2.0889835732105353,0.07744675650889202
9,18.75,19.75,19.75,19.75,19.25,19.5,19.5,19.5,19.0,19.0,20.0,19.75,19.75,19.75,19.5,19.5,19.5,19.0,19.75,19.75,20.0,19.75,20.0,19.5,19.25,19.75,19.75,19.75,19.75,19.75,19.5,20.0,19.25,19.5,19.5,20.0,19.75,20.25,19.75,20.5,19.0,19.5,19.75,19.75,19.75,20.25,19.75,19.75,18.5,18.75,20.0,19.5,20.0,19.75,20.25,19.75,18.75,19.25,19.5,19.5,19.75,19.75,19.75,19.5,24.94,2020-11-05 02:48:30.338,-2.0887298708803606,0.07819917499832797
