index,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,thermistor,time,x,y
0,19.0,19.5,19.5,19.5,19.5,19.75,19.75,20.25,19.0,19.75,19.5,19.5,19.75,19.5,20.25,19.25,18.75,19.5,20.25,19.75,20.0,19.75,19.75,19.25,19.5,19.75,20.0,19.75,20.25,20.0,19.75,20.0,19.25,19.25,19.75,19.75,20.0,20.25,20.0,20.0,19.0,19.0,19.25,20.0,20.25,19.75,20.0,19.75,18.75,20.0,19.75,20.0,20.0,19.75,20.0,19.5,18.5,19.25,19.75,20.0,19.5,19.75,19.75,20.25,24.81,2020-11-05 02:26:06.050,-2.1474466516726203,0.4835685323565462
1,19.25,19.25,19.75,19.5,19.5,19.5,19.75,19.75,18.75,19.25,19.75,19.75,20.0,20.25,20.0,19.75,19.5,19.5,20.0,20.25,19.5,19.75,19.5,19.25,19.5,19.25,19.75,20.0,20.0,19.75,19.25,20.0,19.75,19.5,20.0,20.5,20.0,19.75,20.25,20.0,19.0,19.5,20.0,20.0,20.0,19.75,20.5,20.25,18.75,20.0,19.75,20.0,20.0,19.75,20.0,19.5,18.5,19.25,19.75,20.0,19.5,19.75,19.75,20.25,24.81,2020-11-05 02:26:06.148,-2.1467218577175373,0.4847712079520399
2,18.75,19.75,19.5,19.5,19.25,19.75,19.75,19.0,18.5,18.75,20.0,19.75,19.75,19.5,19.75,19.25,18.75,19.25,19.5,19.75,19.75,20.0,19.75,19.75,19.25,19.5,19.75,19.75,20.0,19.75,19.25,19.75,19.0,19.25,19.5,20.0,19.5,20.0,20.25,19.5,18.75,19.5,20.0,19.75,19.75,19.5,19.5,20.25,18.5,18.75,19.25,19.5,19.75,19.5,20.0,19.75,18.25,19.0,19.5,19.5,19.5,20.25,19.0,19.25,24.81,2020-11-05 02:26:06.249,-2.145811186088476,0.4864732296868768
3,19.0,19.5,19.75,19.5,19.5,19.75,19.75,19.25,19.25,19.75,20.25,19.75,19.5,19.5,20.0,19.75,19.25,19.25,20.0,20.0,20.0,20.25,19.75,20.0,19.5,19.75,19.75,20.25,20.5,19.75,19.25,20.25,19.25,19.25,19.5,20.0,19.5,19.75,20.25,19.75,19.0,19.25,19.75,19.75,20.25,19.75,19.75,20.0,19.0,19.0,19.75,20.0,20.0,20.0,20.0,19.75,18.5,19.0,20.0,20.0,19.75,20.25,19.0,19.75,24.75,2020-11-05 02:26:06.349,-2.1449274972067243,0.4885693233148427
4,18.5,19.5,19.5,19.25,19.25,19.5,19.75,19.25,18.5,19.25,19.5,19.75,19.75,19.75,19.75,20.0,19.25,19.25,20.25,20.25,19.75,20.0,19.5,20.0,20.0,19.5,20.0,19.75,20.25,20.0,19.5,20.0,19.0,19.25,20.0,20.25,20.25,20.25,19.75,19.75,18.75,19.5,19.75,19.5,20.0,19.5,20.0,19.75,18.5,19.25,19.75,20.0,20.0,19.5,19.5,20.0,18.75,19.0,20.0,19.75,20.0,20.25,19.5,19.25,24.75,2020-11-05 02:26:06.451,-2.143358830708566,0.4912433013469003
5,18.5,19.0,19.25,19.5,19.75,19.75,20.0,19.25,18.75,19.5,19.75,19.5,20.25,20.0,19.75,19.75,19.0,19.5,20.0,20.0,20.25,20.25,19.75,19.25,19.25,19.5,19.75,20.25,20.5,20.0,19.75,20.25,19.75,19.25,20.0,20.0,20.25,20.0,20.0,19.5,19.25,19.5,19.75,19.5,20.25,20.0,20.0,19.75,18.25,19.25,19.0,19.5,20.25,19.75,20.0,20.25,18.75,19.25,19.25,19.25,19.75,20.25,19.25,19.25,24.81,2020-11-05 02:26:06.551,-2.141429511635433,0.49244640558902963
6,18.75,19.0,19.25,19.25,20.0,19.5,19.75,20.0,18.25,19.5,19.5,19.75,20.0,19.75,19.75,19.25,19.25,19.0,20.25,19.75,19.75,20.0,19.5,19.5,19.5,19.5,19.75,20.0,20.25,20.0,19.75,20.25,19.0,19.25,19.75,20.0,19.5,20.25,20.25,20.25,19.75,19.75,19.5,20.0,20.0,20.0,20.25,20.5,18.75,19.25,19.5,19.5,20.5,20.0,20.25,20.0,19.25,18.75,19.75,19.5,19.5,19.5,19.5,19.75,24.75,2020-11-05 02:26:06.652,-2.1390783441032983,0.4940587631689632
7,18.75,19.25,19.25,19.5,19.25,19.5,19.75,19.25,18.25,18.75,19.5,19.5,19.5,19.75,19.5,19.25,19.0,19.25,20.0,19.75,19.75,20.25,19.5,19.5,19.5,19.25,20.0,19.5,20.0,19.75,19.0,19.75,19.0,19.0,19.75,20.0,19.25,20.25,20.0,19.75,18.5,19.0,19.75,19.5,19.75,20.0,19.75,19.5,18.25,19.0,19.25,19.25,19.75,19.75,20.25,19.5,18.75,19.25,19.0,19.5,19.75,19.5,19.75,19.25,24.75,2020-11-05 02:26:06.754,-2.1375057239903246,0.4940310754401514
8,19.0,19.5,19.75,19.75,19.75,20.0,19.75,19.75,19.0,19.5,19.5,19.75,19.75,20.25,20.0,20.0,19.0,19.25,20.0,19.75,20.0,20.0,20.0,19.5,19.5,19.5,20.0,20.0,20.0,20.0,19.75,19.75,19.0,19.5,19.5,20.25,19.75,20.0,20.0,20.0,19.25,19.5,19.25,20.0,20.0,20.75,20.0,20.0,18.5,19.5,20.0,19.75,20.25,19.75,20.0,19.5,19.25,19.0,19.5,19.75,19.5,19.75,20.25,19.5,24.75,2020-11-05 02:26:06.855,-2.1354383949689475,0.4948719277355547
9,19.0,19.75,19.5,19.75,19.5,19.5,20.0,19.75,19.25,19.25,20.0,20.0,20.0,19.75,20.25,19.5,19.5,19.5,20.0,20.25,20.0,20.25,19.5,19.75,19.5,19.75,19.5,20.0,20.25,20.25,19.5,20.25,19.25,19.5,20.0,20.25,20.0,19.75,20.25,19.75,19.0,19.25,20.0,20.0,20.25,20.0,20.0,20.25,18.75,19.75,19.5,20.0,20.5,19.75,20.0,19.75,18.75,19.0,20.25,20.0,19.5,19.75,19.5,20.25,24.81,2020-11-05 02:26:06.955,-2.1339217406469277,0.4971480640276462
