index,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,thermistor,time,x,y
0,18.75,19.25,19.5,19.25,19.0,19.25,19.25,19.25,19.5,19.5,19.5,19.5,19.5,19.25,19.75,19.25,19.0,19.5,20.0,20.0,19.5,20.0,19.25,19.25,19.0,19.25,19.75,19.5,20.0,19.25,19.25,19.5,19.0,19.25,20.0,20.0,19.5,19.75,19.75,19.5,18.75,19.25,19.5,19.75,20.25,20.0,19.5,19.25,18.25,18.75,19.75,19.25,20.25,19.75,20.0,19.75,19.0,19.25,19.75,20.0,19.5,19.5,19.25,19.5,24.81,2020-11-05 02:58:53.104,-1.6741660926024797,0.6998899125843335
1,18.0,19.25,19.5,19.25,19.25,20.25,19.75,19.5,19.0,19.5,19.25,19.75,19.75,19.5,20.0,19.25,19.25,19.75,20.0,19.75,19.5,19.5,19.25,19.25,19.5,19.75,20.25,19.75,20.0,19.75,19.5,19.75,18.5,19.25,20.0,19.75,19.75,20.0,19.75,19.0,19.25,19.25,19.75,19.25,20.0,20.0,20.0,19.25,18.25,19.0,19.0,19.25,20.0,19.75,20.25,20.0,18.5,19.25,19.25,19.5,19.75,19.75,19.25,19.5,24.81,2020-11-05 02:58:53.203,-1.6742033793800017,0.6998621233535851
2,18.25,19.0,19.5,19.25,19.25,19.5,19.75,19.5,18.75,19.25,19.5,19.25,19.75,19.25,19.25,19.5,18.75,19.5,19.75,19.75,20.0,20.0,19.5,19.25,18.75,19.75,19.25,20.0,20.0,19.75,19.25,19.25,19.0,19.0,20.0,19.75,19.75,20.0,19.5,19.75,18.75,19.25,19.5,19.5,20.0,19.75,19.5,19.5,18.5,19.0,19.25,19.5,20.0,19.5,20.0,19.0,19.0,18.5,19.5,19.5,19.5,19.5,19.5,19.5,24.75,2020-11-05 02:58:53.303,-1.674198919956019,0.6993395467299042
3,18.25,19.0,19.5,19.25,19.25,19.5,19.75,19.5,18.75,19.25,19.5,19.25,19.75,19.25,19.25,19.5,19.0,19.0,19.75,19.75,19.75,19.75,19.75,18.75,19.25,19.5,19.5,19.75,20.25,20.0,19.5,19.5,18.75,19.75,19.75,19.5,19.75,20.0,19.25,19.25,19.25,19.25,19.25,19.5,20.25,19.5,20.0,19.0,18.25,19.0,19.25,20.0,20.0,19.5,19.75,19.75,19.0,18.75,19.25,19.25,19.5,19.75,18.75,19.5,24.75,2020-11-05 02:58:53.405,-1.6740759025724252,0.6991962306493663
4,18.75,19.0,19.5,19.25,19.25,19.5,19.5,19.25,19.0,19.5,19.25,19.25,19.75,19.5,19.75,19.0,19.0,19.0,19.75,19.75,19.75,19.75,19.75,18.75,19.25,19.5,19.5,19.75,20.25,20.0,19.5,19.5,19.0,19.5,19.5,19.5,19.75,20.0,19.5,19.5,19.0,19.25,19.75,19.5,19.75,20.0,19.75,20.0,18.5,19.0,19.75,19.5,20.0,19.75,19.75,19.75,18.25,18.75,18.75,19.75,19.5,19.25,19.5,19.5,24.75,2020-11-05 02:58:53.505,-1.6741960130106088,0.6987879615309238
5,18.75,18.75,19.5,19.25,19.5,19.0,19.75,19.25,18.75,19.25,19.75,19.75,19.75,19.5,19.75,19.25,19.0,19.25,19.75,19.75,19.75,20.0,19.5,19.0,19.25,19.5,20.0,19.5,20.25,19.75,19.0,19.5,19.0,19.5,19.5,19.5,19.75,20.0,19.5,19.5,19.0,19.25,19.75,19.5,19.75,20.0,19.75,20.0,18.5,18.75,19.5,19.5,19.75,19.5,19.75,19.25,18.5,19.0,19.25,20.0,19.25,19.25,19.5,18.75,24.75,2020-11-05 02:58:53.608,-1.6742137649208657,0.6983898660159356
6,18.5,19.25,19.25,19.5,19.25,19.5,19.25,19.0,18.5,19.0,19.5,19.25,19.75,19.5,19.5,19.25,19.0,19.25,20.0,19.75,19.5,19.5,19.0,19.25,19.5,19.25,19.5,19.5,20.0,19.5,19.25,19.5,19.0,19.25,19.5,19.5,19.5,20.0,19.75,19.5,19.0,19.25,19.75,19.75,20.0,19.5,20.0,19.5,18.5,18.75,19.5,19.5,19.75,19.5,19.75,19.25,18.5,19.0,19.25,20.0,19.25,19.25,19.5,18.75,24.81,2020-11-05 02:58:53.708,-1.674283901730213,0.6983592801075367
7,18.75,19.0,19.75,19.25,19.75,19.0,20.0,19.25,19.0,19.25,19.75,19.5,20.0,19.5,19.5,19.0,18.75,19.0,19.75,19.75,20.0,19.5,19.25,19.25,19.5,19.25,20.0,19.5,20.0,20.25,19.0,19.75,18.75,19.0,19.75,19.75,19.5,20.0,20.0,19.0,18.5,19.5,19.5,19.5,20.0,20.0,20.0,19.5,18.5,19.25,19.75,19.25,19.75,19.75,19.75,19.5,19.0,18.75,19.25,19.5,19.75,19.5,19.0,18.75,24.81,2020-11-05 02:58:53.808,-1.6747969227749486,0.6980705182702054
8,18.75,19.5,19.25,19.25,19.25,19.25,19.5,19.25,19.0,19.5,19.5,19.75,19.75,19.5,19.75,19.5,19.5,19.0,20.0,20.0,19.5,19.75,19.5,19.0,19.25,19.25,19.75,19.75,20.25,19.75,19.25,19.5,19.0,19.25,20.0,19.75,19.25,20.0,19.75,19.75,19.0,19.25,19.25,19.5,20.0,20.0,20.0,19.75,18.75,19.0,19.5,19.5,19.75,20.0,20.0,19.75,18.5,19.5,19.5,19.75,19.25,19.75,19.0,19.5,24.81,2020-11-05 02:58:53.909,-1.6750062206156724,0.6978858467687318
9,18.75,18.5,19.5,19.5,19.25,19.25,19.75,19.25,18.5,19.25,19.5,19.5,19.5,19.5,19.25,19.25,18.5,19.25,20.0,19.75,20.0,20.0,19.5,19.25,19.25,19.0,20.25,19.25,19.75,19.25,19.25,19.5,19.0,19.0,19.75,19.75,19.5,20.25,19.5,19.25,19.0,19.75,19.5,19.75,20.0,19.5,20.25,19.25,18.75,19.0,19.0,19.25,20.0,20.0,19.75,19.25,18.25,18.75,19.25,19.25,19.5,19.75,19.25,19.0,24.75,2020-11-05 02:58:54.012,-1.674590909512359,0.6980642756775671
