index,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,thermistor,time,x,y
1348,19.0,20.0,19.75,19.5,19.5,19.5,19.75,19.25,18.75,19.25,19.75,19.25,20.0,19.75,20.0,19.5,19.25,19.5,20.0,20.25,20.0,19.75,19.25,19.25,19.5,19.75,20.0,19.5,20.25,20.0,19.5,20.25,19.0,19.5,20.0,19.75,19.75,20.25,19.5,20.0,19.5,19.0,19.25,20.0,20.25,20.25,20.25,19.75,18.75,19.25,19.75,19.5,20.25,20.0,20.25,19.5,18.75,18.75,19.25,19.75,19.25,20.0,19.5,19.75,24.87,2020-11-05 03:01:09.244,-1.5681364309368158,3.806545689683006
1349,18.75,19.25,19.75,19.75,19.75,20.0,19.5,19.0,19.0,19.75,19.5,20.0,19.25,20.0,20.0,19.0,19.5,19.0,19.75,20.25,19.75,20.0,19.75,19.5,19.5,19.5,19.75,19.75,20.0,20.0,19.25,20.0,19.25,19.0,20.0,20.0,19.75,20.0,19.5,19.25,19.0,19.0,19.5,19.5,20.0,20.0,19.75,19.25,18.5,19.5,19.5,19.75,20.25,19.5,20.0,19.0,18.5,18.75,19.5,20.0,19.5,19.5,19.25,19.75,24.81,2020-11-05 03:01:09.345,-1.513870415640106,3.8873054507280336
1350,18.25,19.25,19.75,19.25,19.25,19.75,19.5,19.0,18.75,19.5,19.25,19.5,20.25,19.25,20.0,19.75,19.25,19.25,19.75,20.0,19.75,19.75,19.25,19.0,19.25,19.75,19.75,20.25,20.0,20.0,19.5,19.5,19.25,19.25,19.75,20.25,20.0,20.25,20.0,19.5,19.25,19.25,20.0,20.0,19.75,19.5,19.75,19.5,18.75,19.25,19.5,19.75,19.75,19.75,20.0,19.75,18.0,18.5,19.25,20.0,19.5,19.5,19.75,19.75,24.81,2020-11-05 03:01:09.448,-1.449123321472082,3.9597466062546927
1351,18.75,19.75,19.75,19.0,19.5,19.75,19.75,19.75,18.75,19.75,19.75,19.5,20.0,19.75,19.75,19.5,19.25,19.5,19.25,20.0,19.5,20.0,19.5,19.25,19.5,20.0,19.25,20.0,20.0,19.75,19.75,19.75,19.0,19.25,20.0,20.0,19.75,20.0,20.0,19.25,19.25,19.25,19.5,19.25,19.75,20.25,19.75,20.0,18.5,19.0,19.5,20.0,19.75,20.0,19.75,19.75,19.0,18.75,19.25,19.75,19.25,19.75,19.5,19.75,24.81,2020-11-05 03:01:09.547,-1.3796369556617236,4.0191797235550455
1352,19.25,19.25,20.0,19.75,19.0,19.5,19.75,18.75,18.5,19.0,20.0,19.25,20.0,19.75,19.75,19.5,19.0,19.5,20.0,20.0,19.75,20.0,19.75,19.0,19.5,19.5,20.25,19.75,20.0,20.0,19.5,19.75,19.25,19.5,19.75,20.5,19.75,20.25,19.75,19.75,19.25,19.25,19.5,19.5,19.75,20.0,20.0,19.5,19.0,19.25,19.75,19.5,20.25,19.75,20.0,19.75,19.25,18.75,19.0,19.75,19.5,19.75,19.0,19.0,24.81,2020-11-05 03:01:09.650,-1.306218524231056,4.086129792989623
1353,19.0,19.0,19.75,19.5,19.25,19.5,20.0,19.5,19.0,19.25,19.75,19.5,19.5,20.0,19.5,19.25,19.25,19.25,20.25,19.75,19.75,20.0,19.5,19.25,19.75,19.5,19.75,19.5,20.25,19.75,19.75,19.75,19.0,19.25,20.0,19.5,19.5,20.25,19.5,19.25,18.75,19.25,19.25,19.75,19.75,20.0,20.0,19.75,18.75,18.5,19.5,19.25,20.0,20.25,19.5,19.25,18.5,18.5,20.0,19.25,19.0,19.75,19.25,20.5,24.81,2020-11-05 03:01:09.748,-1.2379260544078217,4.144729018300146
1354,18.5,19.5,19.75,19.0,19.5,19.5,19.75,19.25,19.0,19.0,20.25,19.5,20.0,19.5,19.75,19.5,18.75,19.25,19.75,20.0,19.75,20.0,19.25,19.0,19.75,19.5,19.75,19.75,20.0,19.5,19.75,19.75,18.75,19.5,19.75,20.0,19.75,20.0,20.0,19.75,19.0,19.25,19.75,19.75,20.0,19.75,19.5,19.25,18.5,19.25,19.75,19.75,19.75,19.75,20.0,20.25,17.75,19.0,19.25,20.25,19.0,19.5,19.5,20.0,24.81,2020-11-05 03:01:09.850,-1.1535504206114668,4.202291972349186
1355,19.0,19.5,19.0,19.75,19.25,19.5,19.5,19.25,19.0,18.75,19.75,19.5,19.5,19.25,19.5,19.5,18.75,19.25,20.0,20.0,19.75,19.25,18.75,19.5,19.25,19.5,19.5,19.75,20.25,19.75,19.25,20.0,19.25,19.5,19.5,20.0,19.75,20.25,20.0,19.5,18.75,19.25,19.5,19.75,19.75,19.5,19.75,19.5,18.75,18.75,19.5,19.75,19.75,19.75,19.75,19.75,18.25,18.75,19.0,19.75,19.75,19.75,19.0,19.5,24.81,2020-11-05 03:01:09.951,-1.0660363828725739,4.257689432049744
1356,19.0,19.25,19.25,19.75,19.25,20.0,19.5,18.5,19.25,19.5,19.75,19.5,20.0,19.75,19.75,19.5,18.75,19.0,20.0,20.0,20.0,20.25,19.75,19.5,19.0,19.75,19.5,19.75,20.0,20.0,19.5,20.0,19.0,19.25,20.25,19.75,19.5,20.0,20.0,19.5,18.75,19.25,20.0,19.75,20.0,19.75,19.75,19.5,18.75,19.5,19.5,19.75,20.25,20.0,19.75,19.25,18.5,18.75,19.25,20.0,19.75,20.0,19.25,20.0,24.81,2020-11-05 03:01:10.053,-0.9732701305781655,4.314925718269607
1357,18.5,19.0,19.75,19.75,19.5,19.75,19.75,19.0,19.25,19.0,19.5,19.5,19.5,19.5,20.25,19.0,19.25,19.25,19.75,19.75,20.0,20.0,19.75,19.5,19.75,19.5,19.75,20.25,20.0,20.0,19.25,19.75,19.0,19.0,20.25,20.0,19.75,20.0,19.75,19.5,19.25,19.5,19.75,19.75,19.75,20.0,19.75,20.0,18.5,19.5,19.5,20.0,19.5,19.75,19.5,19.75,18.75,18.25,19.75,20.0,19.5,20.0,19.5,19.75,24.81,2020-11-05 03:01:10.154,-0.8683468110130179,4.363324153473134
