index,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,thermistor,time,x,y
10,20.0,20.0,20.75,20.5,20.5,20.75,21.0,20.5,19.5,19.75,20.5,20.0,20.75,20.25,20.75,20.25,20.0,20.5,20.5,21.25,20.75,21.5,20.5,20.5,20.5,21.0,20.5,21.0,20.75,20.75,20.5,21.25,20.0,20.0,20.5,20.75,20.5,21.25,20.75,20.75,21.0,21.25,21.0,21.25,21.25,21.0,21.5,21.25,21.0,20.75,21.75,21.0,21.75,20.75,21.75,21.0,21.0,21.0,21.25,21.25,21.25,21.5,21.0,20.75,26.69,2020-10-23 05:17:58.339,-1.769063179910211,0.29639206066897994
11,20.0,20.5,20.5,21.0,20.25,20.75,21.0,20.5,19.75,20.5,21.0,20.75,21.0,20.75,21.0,20.75,20.25,20.5,20.75,21.0,20.5,21.0,21.0,21.0,20.5,20.5,21.0,21.25,21.0,21.25,20.75,21.0,20.5,20.5,21.25,20.75,20.75,22.0,21.25,20.75,20.5,20.75,21.25,21.0,21.5,21.25,21.5,21.5,20.5,21.0,20.75,21.5,21.75,21.5,21.5,21.25,21.75,20.75,21.5,22.0,21.5,22.0,21.5,21.25,26.69,2020-10-23 05:17:58.441,-1.7627651504772726,0.29571469058418387
12,19.75,20.0,20.5,21.0,20.75,20.75,20.25,20.5,19.75,20.0,20.5,20.25,20.75,21.0,21.0,20.75,20.25,20.25,21.0,21.0,21.0,21.25,20.75,20.75,20.25,20.75,20.75,20.5,21.0,21.0,20.5,21.0,20.5,19.75,21.25,21.0,20.75,21.25,21.5,20.5,20.75,20.75,21.25,21.25,21.25,21.25,21.5,21.0,20.5,21.0,21.75,21.5,21.5,21.25,21.5,21.0,21.25,21.0,21.25,21.25,21.25,21.75,21.25,21.25,26.69,2020-10-23 05:17:58.541,-1.7582623800279533,0.2907716880177292
13,20.0,19.75,21.0,20.75,20.5,20.75,21.0,21.0,20.25,20.25,20.5,20.75,21.25,21.0,21.0,20.75,20.25,20.5,21.0,20.75,20.5,21.25,21.0,21.25,20.5,21.0,21.0,20.5,20.75,21.0,20.5,21.25,20.5,20.0,21.0,21.25,21.0,21.25,21.25,21.25,20.75,20.75,21.0,21.25,22.0,21.0,21.5,21.75,21.0,21.25,21.25,21.25,21.75,21.5,21.5,22.0,21.25,21.0,21.0,21.0,21.5,21.75,21.5,21.5,26.69,2020-10-23 05:17:58.642,-1.7539096177152074,0.28000404628289194
14,19.5,20.5,20.75,20.5,20.5,20.5,21.25,20.5,20.0,19.75,20.75,20.75,21.25,20.25,20.5,20.75,20.5,20.75,21.0,21.0,20.5,21.25,20.75,20.5,20.25,20.5,21.25,21.0,21.0,20.5,20.5,20.75,20.75,20.25,20.75,21.25,21.0,21.5,21.25,20.75,20.75,20.75,21.5,21.0,21.0,21.25,21.25,21.25,20.75,20.5,21.25,21.5,21.75,21.0,22.0,21.0,21.0,21.25,21.25,21.5,21.25,21.75,21.25,21.0,26.69,2020-10-23 05:17:58.743,-1.7501139373100925,0.26497668849238043
15,19.75,20.0,20.5,20.25,20.0,20.5,20.75,20.25,19.75,20.5,20.5,20.25,20.5,20.75,21.0,20.5,20.25,20.0,20.75,21.0,20.75,20.75,20.5,20.5,20.25,20.5,20.5,20.75,21.0,20.75,20.25,21.25,20.25,20.5,21.0,21.0,20.75,21.0,21.25,20.75,20.5,20.75,21.5,21.0,21.0,21.25,21.0,21.0,20.25,20.75,21.25,21.5,21.5,21.25,21.25,20.5,21.5,21.25,21.25,21.5,21.75,21.5,21.5,21.25,26.69,2020-10-23 05:17:58.848,-1.7476316677318242,0.25114020075160387
16,19.5,20.0,20.5,20.5,20.5,20.5,20.75,20.5,20.25,20.25,20.75,20.75,21.0,20.75,21.5,20.5,20.0,20.0,21.0,21.0,20.75,21.0,20.75,21.25,20.75,21.0,20.75,20.75,20.75,21.25,21.0,21.0,20.25,20.0,21.25,21.0,20.75,21.5,21.0,21.25,21.0,20.75,21.0,21.0,21.25,21.0,21.25,21.75,20.25,20.75,21.25,21.5,21.75,21.75,21.5,21.5,21.5,21.0,21.75,22.0,21.75,21.25,21.5,21.25,26.69,2020-10-23 05:17:58.945,-1.7419722004418383,0.24289798765931447
17,20.0,20.5,21.0,20.25,20.75,20.5,21.0,21.0,20.25,20.25,21.25,20.75,21.0,21.0,21.25,20.75,20.25,20.5,21.25,21.25,20.5,21.0,21.0,20.0,20.75,20.5,20.75,21.0,21.25,20.75,21.0,21.25,20.5,20.5,21.0,21.5,20.75,21.5,21.0,21.0,21.25,21.0,21.25,21.25,21.5,21.0,21.25,21.25,21.25,20.75,21.25,21.75,21.75,21.25,22.0,21.25,21.25,20.75,21.5,21.75,21.25,21.75,21.0,21.25,26.69,2020-10-23 05:17:59.046,-1.7313193750843041,0.23714579187293588
18,19.75,20.25,21.0,20.5,20.25,21.0,21.25,20.25,19.75,20.25,20.25,21.0,20.75,21.25,21.0,20.75,20.25,20.75,21.0,20.75,21.0,21.0,20.5,20.25,20.0,20.75,20.5,21.25,21.0,21.0,21.0,21.5,20.0,21.0,20.75,21.0,21.0,21.25,21.25,20.75,20.75,20.75,21.25,20.75,21.75,21.25,21.5,21.25,21.0,20.75,21.5,21.5,21.75,21.5,21.5,20.75,21.0,21.25,21.5,21.25,21.25,21.75,21.75,20.75,26.69,2020-10-23 05:17:59.147,-1.7202334929456433,0.231071252591978
19,20.0,20.0,21.0,21.0,20.5,21.0,21.0,21.0,20.25,20.0,20.5,20.75,21.0,21.0,21.25,21.25,20.0,20.5,21.0,21.25,20.75,21.0,20.75,21.0,20.5,20.25,20.75,21.25,21.25,21.0,20.5,20.75,20.0,20.25,21.0,21.5,21.0,21.25,21.0,21.0,20.25,20.5,21.25,21.0,21.25,21.0,21.0,21.25,20.75,21.0,21.25,21.5,21.5,21.5,21.75,20.75,21.0,21.0,21.75,21.5,21.75,21.5,21.25,21.0,26.69,2020-10-23 05:17:59.248,-1.7092673439573023,0.22640281876793605
